"";"x"
"116";"Inferentiële statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Kritieke waarde / kritiek gebied"
"117";"Inferentiële statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Toetsingsgrootheid (tgh)"
"118";"Inferentiële statistiek,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend)"
"119";"Kansdefinities,Klassieke kansdefinitie"
"120";"Kansdefinities,Uitkomstenruimte (even waarschijnlijke uitkomsten)"
"121";"Kansrekening"
"122";"Kansrekening,Kansdefinities,Gebeurtenis"
"123";"Kansrekening,Kansdefinities,Kansrekening (ond.),Complementregel,Klassieke kansdefinitie"
"124";"Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Klassieke kansdefinitie"
"125";"Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Onafhankelijkheid van twee of meer gebeurtenissen"
"126";"Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Relatieve frequentie kansdefinitie"
"127";"Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Uitkomstenruimte (even waarschijnlijke uitkomsten)"
"128";"Kansrekening,Kansdefinities,Kansrekening (ond.),Somregel,Onafhankelijkheid van twee of meer gebeurtenissen"
"129";"Kansrekening,Kansdefinities,Kansrekening (ond.),Somregel,Relatieve frequentie kansdefinitie"
"130";"Kansrekening,Kansdefinities,Kansverdeling,Binomiale verdeling,Klassieke kansdefinitie"
"131";"Kansrekening,Kansdefinities,Kansverdeling,Normale verdeling,Onafhankelijkheid van twee of meer gebeurtenissen"
"132";"Kansrekening,Kansdefinities,Kansverdeling,Uniforme verdeling,Relatieve frequentie kansdefinitie"
"133";"Kansrekening,Kansdefinities,Kansverdeling,Voorwaardelijke kansen,Klassieke kansdefinitie"
"134";"Kansrekening,Kansdefinities,Kansverdeling,Voorwaardelijke kansen,Onafhankelijkheid van twee of meer gebeurtenissen"
"135";"Kansrekening,Kansdefinities,Klassieke kansdefinitie"
"136";"Kansrekening,Kansdefinities,Klassieke kansdefinitie,Gebeurtenis"
"137";"Kansrekening,Kansdefinities,Klassieke kansdefinitie,Onafhankelijkheid van twee of meer gebeurtenissen"
"138";"Kansrekening,Kansdefinities,Klassieke kansdefinitie,Uitkomstenruimte (even waarschijnlijke uitkomsten)"
"139";"Kansrekening,Kansdefinities,Onafhankelijkheid van twee of meer gebeurtenissen"
"140";"Kansrekening,Kansdefinities,Relatieve frequentie kansdefinitie"
