oldTax;newTax
Inferentiële statistiek,T-Toetsen,Correlatie (inferentiële stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waarde alleen via ß1,Gepaarde T toets;Inferential Statistics/Parametric Techniques/t-test/Test for correlation
Inferentiële statistiek,T-Toetsen,Gepaarde T toets;Inferential Statistics/Parametric Techniques/t-test/Paired samples
Inferentiële statistiek,T-Toetsen,T toets voor 2 onafh. Steekproeven;Inferential Statistics/Parametric Techniques/t-test/Independent samples means
Inferentiële statistiek,T-Toetsen,T-verdeling, vrijheidsgraden;Distributions/Continuous/t-distribution
Inferentiële statistiek,Toetstheorie;Inferential Statistics
Inferentiële statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,p-waarde;Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA
Inferentiële statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,Statistische significantie, H0 wel/niet verwerpen, conclusie in context;Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA
Inferentiële statistiek,Toetstheorie,Anova,Oneway, F-verdeling,p-waarde;Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA
Inferentiële statistiek,Toetstheorie,Anova,Oneway, F-verdeling,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/ANOVA/Oneway ANOVA
Inferentiële statistiek,Toetstheorie,Dichotome data,Binomiaaltoets (Z-benadering),Kritieke waarde / kritiek gebied;Inferential Statistics/Non-parametric Techniques/Binomial test
"Inferentiële statistiek,Toetstheorie,Hypotheses (nul en alternatief; één- en tweezijdig)";Inferential Statistics/NHST/Hypothesis/Two sided hypothesis
Inferentiële statistiek,Toetstheorie,Intervalschatting,Betrouwbaarheidsinterval voor mu, Interpretatie,Risico alpha of beta (fout van de eerste of tweede soort);Inferential Statistics/Confidence Intervals/Confidence level
Inferentiële statistiek,Toetstheorie,Kansverdeling van tgh onder H0;Inferential Statistics/NHST/Hypothesis/Null hypothesis
Inferentiële statistiek,Toetstheorie,Kritieke waarde / kritiek gebied;Inferential Statistics/NHST/Significance level/Critical value
Inferentiële statistiek,Toetstheorie,Non-parametrische toetsen,Risico alpha of beta (fout van de eerste of tweede soort);Inferential Statistics/NHST/Statistical errors
Inferentiële statistiek,Toetstheorie,p-waarde;Inferential Statistics/NHST/p-value
Inferentiële statistiek,Toetstheorie,Power en steekproefomvang;Inferential Statistics/NHST/Power
Inferentiële statistiek,Toetstheorie,Power en steekproefomvang,Kritieke waarde / kritiek gebied;Inferential Statistics/NHST/Significance level/Critical value
Inferentiële statistiek,Toetstheorie,Power en steekproefomvang,p-waarde;Inferential Statistics/NHST/p-value
