"oldTax";"newTax"
"exsection: Inferenti?le statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Toetsingsgrootheid (tgh) ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Kritieke waarde / kritiek gebied ";"exsection: "
"exsection: Inferenti?le statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Coverage (95%, 9 ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,Statistische significantie, H0 wel/niet verwerpen, ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,p-waarde ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Toetsingsgrootheid (tgh) ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Hypotheses (nul en alternatief; ??n- en tweezijdig ";"exsection: "
"exsection: Inferenti?le statistiek,Regressie (inferenti?le stat.),Toets (H0 : ?1 = 0), Tgh m.b.v. T-verdeling ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Regressie (inferenti?le stat.),Toets (H0 : ?1 = 0), Tgh m.b.v. T-verdeling,p-waarde ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Dichotome data,Binomiaaltoets (Z-benadering),Kritieke waarde / kritiek gebied ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Kritieke waarde / kritiek gebied ";"exsection: "
"exsection: Inferenti?le statistiek,Anova ";"exsection: "
"exsection: Inferenti?le statistiek,T-Toetsen,T-verdeling, vrijheidsgraden ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Toetsingsgrootheid (tgh) ";"exsection: "
"exsection: Inferenti?le statistiek,Regressie (inferenti?le stat.),Anova,Oneway, ANOVA-table ";"exsection: "
"exsection: Inferenti?le statistiek,Non-parametrische toetsen,Mann-Whitney / Wilcoxon Rank Sum test ";"exsection: "
"exsection: Kansdefinities,Klassieke kansdefinitie ";"exsection: "
"exsection: Kansdefinities,Uitkomstenruimte (even waarschijnlijke uitkomsten) ";"exsection: "
"exsection: Inferenti?le statistiek,Toetstheorie,Anova,Oneway, F-verdeling,p-waarde ";"exsection: "
"exsection: Gepaarde T toets,Toetsingsgrootheid (tgh) ";"exsection: "
"exsection: Kansrekening ";"exsection: "
"exsection: Kansrekening,Kansdefinities,Klassieke kansdefinitie ";"exsection: "
"exsection: Kansrekening,Kansrekening (ond.),Discrete stochastische variabelen (elementair begr ";"exsection: "
"exsection: Kansrekening,Kansverdeling,Kansverdeling steekproefgemiddelde (onafhankelijke ";"exsection: "
"exsection: Kansrekening,Kansverdeling,Verwachtingswaarde van (discrete) toevalvariabele; ";"exsection: "
"exsection: Kansrekening,Kansdefinities,Onafhankelijkheid van twee of meer gebeurtenissen ";"exsection: "
"exsection: Kansrekening,Kansrekening (ond.),Complementregel ";"exsection: "
"exsection: Kansrekening,Kansverdeling,Normale verdeling ";"exsection: "
"exsection: Kansrekening,Kansrekening (ond.),Continue stochastische variabelen ";"exsection: "
NA;"exsection: "
